Date,Close
7/1/2021 16:00:00,126.37
7/2/2021 16:00:00,128.72
7/6/2021 16:00:00,129.77
7/7/2021 16:00:00,130.08
7/8/2021 16:00:00,129.18
7/9/2021 16:00:00,129.57
7/12/2021 16:00:00,130.56
7/13/2021 16:00:00,130.99
7/14/2021 16:00:00,132.08
7/15/2021 16:00:00,131.27
7/16/2021 16:00:00,131.85
7/19/2021 16:00:00,129.25
7/20/2021 16:00:00,131.1
7/21/2021 16:00:00,132.6
7/22/2021 16:00:00,133.33
7/23/2021 16:00:00,137.82
7/26/2021 16:00:00,139.64
7/27/2021 16:00:00,136.8
7/28/2021 16:00:00,136.38
7/29/2021 16:00:00,136.54
7/30/2021 16:00:00,135.22
8/2/2021 16:00:00,135.99
8/3/2021 16:00:00,136.28
8/4/2021 16:00:00,136.03
8/5/2021 16:00:00,136.94
8/6/2021 16:00:00,137.04
8/9/2021 16:00:00,138
8/10/2021 16:00:00,138.1
8/11/2021 16:00:00,137.69
8/12/2021 16:00:00,138.39
8/13/2021 16:00:00,138.41
8/16/2021 16:00:00,138.92
8/17/2021 16:00:00,137.3
8/18/2021 16:00:00,136.57
8/19/2021 16:00:00,136.91
8/20/2021 16:00:00,138.44
8/23/2021 16:00:00,141.1
8/24/2021 16:00:00,142.4
8/25/2021 16:00:00,142.95
8/26/2021 16:00:00,142.12
8/27/2021 16:00:00,144.55
8/30/2021 16:00:00,145.47
8/31/2021 16:00:00,145.46
9/1/2021 16:00:00,145.84
9/2/2021 16:00:00,144.22
9/3/2021 16:00:00,144.78
9/7/2021 16:00:00,145.52
9/8/2021 16:00:00,144.88
9/9/2021 16:00:00,144.91
9/10/2021 16:00:00,141.92
9/13/2021 16:00:00,143.47
9/14/2021 16:00:00,143.41
9/15/2021 16:00:00,145.21
9/16/2021 16:00:00,144.37
9/17/2021 16:00:00,141.46
9/20/2021 16:00:00,139.02
9/21/2021 16:00:00,139.65
9/22/2021 16:00:00,140.94
9/23/2021 16:00:00,141.83
9/24/2021 16:00:00,142.63
9/27/2021 16:00:00,141.5
9/28/2021 16:00:00,136.18
9/29/2021 16:00:00,134.52
9/30/2021 16:00:00,133.27
10/1/2021 16:00:00,136.46
10/4/2021 16:00:00,133.76
10/5/2021 16:00:00,136.18
10/6/2021 16:00:00,137.35
10/7/2021 16:00:00,139.19
10/8/2021 16:00:00,140.06
10/11/2021 16:00:00,138.85
10/12/2021 16:00:00,136.71
10/13/2021 16:00:00,137.9
10/14/2021 16:00:00,141.41
10/15/2021 16:00:00,141.68
10/18/2021 16:00:00,142.96
10/19/2021 16:00:00,143.82
10/20/2021 16:00:00,142.42
10/21/2021 16:00:00,142.78
10/22/2021 16:00:00,138.63
10/25/2021 16:00:00,138.77
10/26/2021 16:00:00,139.67
10/27/2021 16:00:00,146.43
10/28/2021 16:00:00,146.13
10/29/2021 16:00:00,148.27
11/1/2021 16:00:00,143.77
11/2/2021 16:00:00,145.86
11/3/2021 16:00:00,146.79
11/4/2021 16:00:00,148.68
11/5/2021 16:00:00,149.24
11/8/2021 16:00:00,149.35
11/9/2021 16:00:00,149.25
11/10/2021 16:00:00,146.63
11/11/2021 16:00:00,146.75
11/12/2021 16:00:00,149.65
11/15/2021 16:00:00,149.39
11/16/2021 16:00:00,149.08
11/17/2021 16:00:00,149.06
11/18/2021 16:00:00,150.71
11/19/2021 16:00:00,149.95
11/22/2021 16:00:00,147.08
11/23/2021 16:00:00,146.76
11/24/2021 16:00:00,146.72
11/26/2021 13:00:00,142.81
11/29/2021 16:00:00,146.11
11/30/2021 16:00:00,142.45
12/1/2021 16:00:00,141.62
12/2/2021 16:00:00,143.78
12/3/2021 16:00:00,142.52
12/6/2021 16:00:00,143.8
12/7/2021 16:00:00,148.04
12/8/2021 16:00:00,148.72
12/9/2021 16:00:00,148.11
12/10/2021 16:00:00,148.68
